feature,shap_importance
STUDENTID,6.789187
COURSE ID,2.1061525
CUML_GPA,1.9609398
FATHER_JOB,1.9438182
#_SIBLINGS,1.0362512
GENDER,0.918689
STUDY_HRS,0.89824814
PARTNER,0.8895164
MOTHER_EDU,0.7133761
READ_FREQ_SCI,0.65821266
SALARY,0.5200164
CLASSROOM,0.48738447
ACTIVITY,0.47316635
NOTES,0.46753362
LISTENS,0.43556505
LIKES_DISCUSS,0.4289179
TRANSPORT,0.42421034
EXP_GPA,0.36526757
LIVING,0.3630002
SCHOLARSHIP,0.3307936
ATTEND,0.3298529
WORK,0.28407812
HS_TYPE,0.2786526
FATHER_EDU,0.27321458
AGE,0.2619251
IMPACT,0.16581514
MOTHER_JOB,0.12697953
PREP_EXAM,0.056894943
READ_FREQ,0.04617922
KIDS,0.0393653
PREP_STUDY,0.017409958
ATTEND_DEPT,0.009215683
