,0,1,2,3,4,5,6,7
intercept,-1.3938845198039513,1.731140624498023,0.5061967546888925,0.15314551849084482,0.10016322352001492,-0.2814343514226881,0.038599646373396974,-0.8539268963445314
STUDENTID,-1.0080012984946751,-0.7038407726753952,-0.5763273050742811,-0.47787579115927886,1.1286569576065602,1.3664671818033802,0.8282552534710185,-0.5573342254773315
AGE,-0.3710172204804349,0.6415890972534136,0.19443035909482448,0.5676526262168919,-0.3719991341931743,0.37455085812106415,-0.048799881006474054,-0.986406705006112
GENDER,-1.33091914894251,-0.10641145477510218,0.19294855887404191,-0.2720610347618115,-0.23419849507533255,-0.42852865772006304,0.5913530644641559,1.5878171679366189
HS_TYPE,-0.3694225849693427,0.22379260651410304,0.11194783564093133,-0.4786205868642511,-0.5286924238136012,0.09412487982835552,0.19501612516417594,0.7518541484996295
SCHOLARSHIP,-0.32764951733454356,0.5131628637553188,0.3141774841673265,-0.6062484360955023,-0.37243730128272107,0.3097682654305576,0.19273848730499826,-0.0235118459454337
WORK,0.04432351186115887,-0.2549991436514925,-0.33243581344434703,-0.27423413815991304,-1.0307150163226602,0.6685609431820382,0.6223249536366252,0.5571747028985914
ACTIVITY,-0.05817597078436772,-0.01833157452634329,-0.1639041504698338,1.149997402743044,-0.5878418354023655,-0.38482845891063505,-0.26407323240448055,0.3271578197549868
PARTNER,-0.8853885508876473,0.03439988606007929,1.2989531805887207,-0.5247920365579155,-0.1374972235585931,-0.3578796708697464,0.2784006995972729,0.2938037156278279
SALARY,0.4248044829622447,-0.002890759928931648,0.06357426795226052,0.29571340386598166,0.3091405672854489,-0.594782030402195,-0.7630537486644233,0.267493816929615
TRANSPORT,0.9791388202880742,0.3560422958573385,-0.19809930567143194,-0.01012273685011985,-0.2539680266526207,0.20310427251113872,-0.5222726288202697,-0.553822690662108
LIVING,0.1361808419708528,-0.39175619742889184,-0.03973374599849117,-0.008002589251338033,-0.8563735669170963,0.16038532192991675,0.8498575943545206,0.14944234134052556
MOTHER_EDU,-0.18512410303417207,0.25772247168277845,0.3292836232201433,-0.7255975538075743,0.23380584842350405,-0.26294288061656673,0.33840559033536866,0.014447003796516934
FATHER_EDU,0.3212771196024529,0.24297556965160777,-0.5922358844934612,0.32758850272983714,-0.35336868430721596,-0.011274648851998196,-0.5728936767146859,0.6379317023834595
#_SIBLINGS,0.4336211819279259,0.05973824102871338,-1.0751239683303018,0.18313217103570337,-0.011207516722745007,0.5393905814194149,0.2006683250002133,-0.33021901535892495
KIDS,0.3334386884268845,-0.6685187841720936,0.4050594702867781,-0.3437348177894129,-0.5849133142471261,0.2620019724496222,-0.0636368803264137,0.6603036653717597
MOTHER_JOB,0.44729566015195454,-0.4401228186863712,-0.06251274593416895,0.7541622377442425,0.22298162040617603,-0.3793871689110335,-0.5081084681097362,-0.0343083166610628
FATHER_JOB,-0.03130087243254068,0.19440689024761687,0.001939128760172681,0.414445169549888,-0.619555811481347,0.06736945966869799,0.7168683717122472,-0.7441723360247353
STUDY_HRS,-0.021217310377330097,-0.12891404245273905,-0.4426714681643071,0.7352488797477567,0.29230624788704146,-0.15780789399955159,-0.215086251189777,-0.061858161451096225
READ_FREQ,0.15608210825016022,-0.1410149846055384,-0.6613197734604447,-0.5257731163607836,-0.03873863707406711,-0.31774724710867047,0.16582028276709665,1.3626913675922476
READ_FREQ_SCI,0.27278853991145446,-0.583187746412547,-0.003736578426501762,0.5858482977295653,-0.20890858312568,0.6697621941673645,-0.006385747773262862,-0.7261803760703941
ATTEND_DEPT,0.6926021545643422,0.029607918591204645,-0.32416864597461187,-0.15669505483651494,0.035044236587072945,0.0299577988196006,-0.3338335175902045,0.02748510983911125
IMPACT,0.13609608681445437,-0.11553310190383205,0.7114395009033023,0.3282397258435171,0.24184239915783454,-0.5421345285737094,-0.40438749758905823,-0.35556258465250945
ATTEND,0.10439579120986783,0.18975186888128578,-0.09888228368153885,-0.6604524264951169,0.5234538389316249,0.3104159482276807,0.1718304879695335,-0.5405132250433347
PREP_STUDY,0.20705648249871714,-0.021944778913909956,-0.02307284226890739,0.17866504337387165,-0.24105500995744503,0.1289039811860557,-0.4166068637003124,0.18805398778192656
PREP_EXAM,-0.19049050413893878,0.15757424247320187,0.1445614706186322,-0.0890284677550551,-0.06884603418889045,-0.43383866593467246,0.2560974942672017,0.2239704646585208
NOTES,-0.4977627502131322,0.6838081101950635,-0.07468996760483332,-0.09557757942210396,0.12460515741223924,0.32781690248424644,-0.5291866779505507,0.06098680509906925
LISTENS,-0.3548007452071321,0.06085429915159092,-0.2314991216466238,0.18759992492352032,0.13916339223823043,0.11153702929792342,-0.04025910855926249,0.12740432980175226
LIKES_DISCUSS,-0.058529765634985534,-0.41684907837486596,-0.10892709776900877,0.49558338473473756,0.22776110058380175,-0.18825717556467425,-0.6545265372772512,0.7037451693022452
CLASSROOM,0.5560644021968977,-0.1567503740877701,-0.5065612163506815,0.34001165656445587,0.11974571003063354,-0.41595207144354107,0.41269457548859345,-0.349252682398589
CUML_GPA,-0.5037020917242806,-0.8609021895183648,-0.9694596747095289,0.030416035474715657,0.674192703121007,1.0842379559883568,0.8086395147615145,-0.26342225339341935
EXP_GPA,-0.24676101779380202,0.12270218787530639,0.009530661722799417,0.9957626861551387,-0.4782251785620645,0.08559186873297904,-0.5605817293045375,0.0719805211741788
COURSE ID,-0.48570904660426445,-0.8556403880600365,-0.747735359506165,0.187174348844199,0.3278832360485975,-0.7323818060650557,1.395521336092264,0.9108876792504605
