feature,shap_importance
SCHOLARSHIP,5.111285775080717
STUDENTID,2.051464109154465
ACTIVITY,1.9915728405505781
MOTHER_JOB,1.7852386028353604
SALARY,1.7791863806978672
AGE,1.7482856534743347
LISTENS,1.7033418629558281
GENDER,1.6832734048318525
CLASSROOM,1.4664212784916588
PREP_STUDY,1.3126258792119927
STUDY_HRS,1.3100962797156914
CUML_GPA,1.2411612098810607
LIVING,1.2146301781841904
EXP_GPA,1.1990712855810797
PARTNER,1.132911871748154
WORK,1.1186879203853295
MOTHER_EDU,1.0655915069798683
FATHER_EDU,1.0630371714514264
READ_FREQ_SCI,0.9710259793463755
HS_TYPE,0.9407881163799231
FATHER_JOB,0.9167771639247985
PREP_EXAM,0.904682579047305
ATTEND_DEPT,0.8920462531116046
LIKES_DISCUSS,0.8685801025341118
READ_FREQ,0.7321346314251733
COURSE ID,0.6783529598508893
#_SIBLINGS,0.6760027639818497
NOTES,0.5183530850090599
ATTEND,0.4517982483661943
TRANSPORT,0.4198737130453183
KIDS,0.373614281651707
IMPACT,0.3243637354493244
